No_;Anchura;Galga;Se fabrica;No_ Mezcla Operativa;Abrefacil;Anchura Bobina (mm);Ancho Total Extrusión;Tratado;Tipo
2000009;0;90;1;MO-100008;0;1050;1050;0;BOB TUBO
2000010;0;90;1;MO-100108;1;1050;1050;0;BOB SETUBO
2000011;0;60;1;MO-100008;0;550;1100;0;BOB SETUBO
2000012;0;62;1;MO-100008;0;550;1100;0;BOB TUBO
2000013;0;60;1;MO-100008;0;590;1180;0;BOB SETUBO
2000018;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000019;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000020;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000022;0;60;1;;0;600;1200;0;BOB TUBO
2000027;60;65;1;MO-100008;0;600;1200;0;BOB SETUBO
2000029;0;75;1;MO-100008;0;600;1200;0;BOB SETUBO
2000031;0;75;1;MO-100008;0;600;1200;0;BOB SETUBO
2000032;0;100;1;MO-100008;0;650;1300;0;BOB TUBO
2000033;0;110;1;MO-100008;0;650;1300;0;BOB TUBO
2000034;0;60;1;MO-100008;0;650;1300;0;BOB TUBO
2000038;0;60;1;;0;650;1300;0;BOB SETUBO
2000039;0;62;1;MO-100008;0;650;1300;0;BOB TUBO
2000042;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000043;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000044;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000047;0;70;1;MO-100008;0;650;1300;0;BOB TUBO
2000048;0;75;1;MO-100008;0;650;1300;0;BOB SETUBO
2000050;0;75;1;MO-100008;0;650;1300;0;BOB SETUBO
2000054;0;95;1;MO-100008;0;650;1300;0;BOB TUBO
2000057;0;65;1;MO-100008;0;690;1380;0;BOB SETUBO
2000058;0;65;1;MO-100008;0;700;1400;0;BOB SETUBO
2000060;0;65;1;MO-100008;0;690;1380;0;BOB SETUBO
2000061;0;80;1;MO-100008;0;700;1400;0;BOB TUBO
2000062;0;90;1;MO-100008;0;790;1580;0;BOB SETUBO
2000063;0;85;1;MO-100008;0;850;850;0;BOB TUBO
2000067;0;90;1;MO-100008;0;900;900;0;BOB TUBO
2000069;0;165;1;MO-100030;0;1020;1020;0;BOB TUBO
2000070;0;170;1;;0;1020;1020;0;BOB TUBO
2000071;0;80;1;;1;1020;1020;0;BOB SETUBO
2000073;0;100;1;MO-100008;0;1050;1050;0;BOB TUBO
2000080;0;100;1;MO-100108;1;1050;1050;0;BOB SETUBO
2000081;0;105;1;;1;1050;1050;0;BOB SETUBO
2000083;0;115;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000084;0;120;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000087;0;130;1;MO-100108;1;1040;1040;0;BOB SETUBO
2000091;0;150;1;;0;1050;1050;0;BOB TUBO
2000092;0;75;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000093;0;80;1;MO-100008;0;1050;1050;0;BOB TUBO
2000094;0;80;1;MO-100008;0;1050;1050;0;BOB TUBO
2000096;0;80;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000097;0;80;1;MO-100108;0;1050;1050;0;BOB TUBO
2000107;0;90;1;MO-100008;0;1050;1050;0;BOB TUBO
2000108;0;90;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000109;0;90;1;MO-100045;1;1050;2100;0;BOB SETUBO
2000111;0;95;1;MO-100008;0;1050;1050;0;BOB TUBO
2000112;0;95;1;MO-100030;0;1050;1050;0;BOB TUBO
2000113;0;105;1;;0;1070;1070;0;BOB TUBO
2000114;0;110;1;MO-100008;0;1070;2140;0;BOB SETUBO
2000116;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000117;106;70;1;MO-100008;0;1060;1060;0;BOB SETUBO
2000118;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000119;0;70;1;MO-100008;0;1070;1070;0;BOB TUBO
2000121;107;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000122;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000124;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000125;0;70;1;MO-100045;0;1060;1060;0;BOB SETUBO
2000126;0;70;1;MO-100045;0;1070;1070;0;BOB SETUBO
2000127;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000131;0;120;1;;0;1080;1080;0;BOB TUBO
2000135;0;85;1;MO-100008;1;1080;2160;0;BOB SETUBO
2000136;0;85;1;MO-100008;1;1080;2160;0;BOB SETUBO
2000137;0;85;1;MO-100008;1;1080;2160;0;BOB SETUBO
2000138;0;85;1;MO-100030;1;1080;2160;0;BOB SETUBO
2000139;0;85;1;MO-100008;1;1080;2160;0;BOB SETUBO
2000142;0;85;1;MO-100045;1;1080;2160;0;BOB SETUBO
2000143;0;85;1;MO-100108;1;1080;2160;0;BOB SETUBO
2000145;0;100;1;MO-100045;1;1100;2200;0;BOB SETUBO
2000146;0;105;1;MO-100030;0;1100;1100;0;BOBINAS PE
2000147;0;120;1;MO-100008;1;1100;2200;0;BOB SETUBO
2000148;0;120;1;MO-100008;1;1100;2200;0;BOB SETUBO
2000149;0;120;1;MO-100008;1;1100;2200;0;BOB SETUBO
2000151;0;120;1;MO-100108;1;1100;2200;0;BOB SETUBO
2000153;0;140;1;;0;1100;1100;0;BOBINAS PE
2000155;0;80;1;;0;1100;1100;0;BOBINAS PE
2000160;0;60;1;MO-100008;0;550;1100;0;BOBINAS PE
2000161;0;62;1;MO-100008;0;550;1100;0;BOBINAS PE
2000164;0;50;1;MO-100045;1;580;1160;0;BOB SETUBO
2000165;0;55;1;MO-100008;1;580;1160;0;BOB SETUBO
2000166;0;55;1;MO-100008;1;580;1160;0;BOB SETUBO
2000168;0;55;1;MO-100030;1;580;1160;0;BOB SETUBO
2000171;0;50;1;MO-100008;0;600;1200;0;BOBINAS PE
2000172;0;55;1;MO-100008;0;600;1200;0;BOBINAS PE
2000173;0;55;1;MO-100008;0;600;1200;0;BOBINAS PE
2000174;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000177;0;55;1;MO-100045;1;600;1200;0;BOB SETUBO
2000179;0;60;1;MO-100008;0;600;1200;0;BOB TUBO
2000180;0;60;1;MO-100008;0;600;1200;0;BOB TUBO
2000181;0;60;1;MO-100008;0;600;1200;0;BOB TUBO
2000182;0;60;1;MO-100008;1;600;1200;0;BOB SETUBO
2000183;0;60;1;MO-100030;1;600;1200;0;BOB SETUBO
2000185;0;62;1;MO-100008;0;600;1200;0;BOB TUBO
2000188;0;65;1;;0;600;1200;0;BOB TUBO
2000189;0;70;1;;0;600;1200;0;BOB TUBO
2000190;0;70;1;MO-100030;1;600;1200;0;BOB SETUBO
2000192;0;75;1;MO-100008;0;600;1200;0;BOB TUBO
2000193;0;75;1;MO-100008;0;600;1200;0;BOB TUBO
2000194;0;75;1;;0;600;1200;0;BOB TUBO
2000195;0;75;1;;0;600;1200;0;BOB TUBO
2000198;0;130;1;;0;650;1300;0;BOB TUBO
2000199;0;60;1;MO-100008;0;650;1300;0;BOB TUBO
2000200;0;60;1;MO-100008;0;650;1300;0;BOB TUBO
2000201;0;60;1;MO-100008;0;650;1300;0;BOB TUBO
2000203;0;60;1;;0;650;1300;0;BOB TUBO
2000204;0;62;1;MO-100008;0;650;1300;0;BOB TUBO
2000205;0;62;1;;0;650;1300;0;BOB TUBO
2000207;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000208;0;65;1;MO-100008;0;650;1300;0;BOB TUBO
2000209;0;65;1;MO-100008;0;650;1300;0;BOB TUBO
2000211;0;65;1;;0;650;1300;0;BOB TUBO
2000213;0;70;1;MO-100008;0;650;1300;0;BOB TUBO
2000217;0;72;1;;0;650;1300;0;BOB TUBO
2000218;0;75;1;MO-100008;0;650;1300;0;BOB TUBO
2000219;0;75;1;;0;650;1300;0;BOB TUBO
2000220;0;75;1;MO-100008;0;650;1300;0;BOB SETUBO
2000221;0;75;1;;0;650;1300;0;BOB SETUBO
2000222;0;75;1;MO-100008;0;650;1300;0;BOB TUBO
2000223;0;75;1;;0;650;1300;0;BOB TUBO
2000224;0;75;1;;0;650;1300;0;BOB TUBO
2000226;0;80;1;MO-100008;0;650;1300;0;BOB TUBO
2000227;0;80;1;MO-100008;0;650;1300;0;BOB TUBO
2000228;70;65;1;MO-100030;1;700;1400;0;BOB SETUBO
2000230;0;65;1;MO-100008;0;700;1400;0;BOB TUBO
2000231;0;80;1;MO-100008;0;700;1400;0;BOB TUBO
2000232;0;100;1;MO-100008;1;800;1600;0;BOB SETUBO
2000234;0;145;1;;0;800;800;0;BOB TUBO
2000236;0;80;1;MO-100030;0;800;800;0;BOB SETUBO
2000238;0;90;1;MO-100008;0;800;800;0;BOB TUBO
2000243;0;80;1;MO-100004;0;840;840;0;BOB TUBO
2000246;0;75;1;;0;850;850;0;BOB TUBO
2000247;0;80;1;MO-100008;1;850;850;0;BOB SETUBO
2000249;0;85;1;MO-100008;0;850;850;0;BOB TUBO
2000250;0;85;1;MO-100008;1;850;850;0;BOB SETUBO
2000251;0;85;1;MO-100030;0;850;850;0;BOB TUBO
2000252;0;90;1;MO-100030;0;850;850;0;BOB TUBO
2000255;0;100;1;MO-100008;0;900;900;0;BOB TUBO
2000256;0;100;1;MO-100008;0;900;900;0;BOB TUBO
2000261;0;120;1;MO-100008;0;900;900;0;BOB TUBO
2000262;0;120;1;MO-100008;0;900;900;0;BOB TUBO
2000264;0;140;1;MO-100008;0;900;900;0;BOB TUBO
2000265;0;140;1;MO-100008;0;900;900;0;BOB TUBO
2000266;0;140;1;MO-100030;0;900;900;0;BOB TUBO
2000268;0;140;1;MO-100030;0;900;900;0;BOB TUBO
2000269;0;140;1;MO-100108;0;900;900;0;BOB TUBO
2000270;0;150;1;MO-100008;0;900;900;0;BOB TUBO
2000271;0;150;1;MO-100008;0;900;900;0;BOB TUBO
2000272;0;150;1;MO-100008;0;900;900;0;BOB TUBO
2000273;0;150;1;MO-100008;0;900;900;0;BOB TUBO
2000275;0;150;1;MO-100045;0;900;900;0;BOB TUBO
2000278;0;170;1;;0;900;900;0;BOB TUBO
2000281;0;90;1;MO-100008;0;900;900;0;BOB TUBO
2000283;0;95;1;MO-100030;0;900;900;0;BOB TUBO
2000288;0;95;1;MO-100004;0;1000;1000;0;BOB TUBO
2000291;0;120;1;MO-100004;0;1060;1060;0;BOB TUBO
2000296;0;65;1;MO-100003;0;1200;1200;0;BOB TUBO
2000299;0;95;1;MO-100004;0;1200;1200;0;BOB TUBO
2000301;0;80;1;MO-100004;0;1250;1250;0;BOB TUBO
2000303;0;95;1;MO-100004;0;1260;1260;0;BOB TUBO
2000307;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000308;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000309;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000310;0;95;1;MO-100004;0;1500;1500;0;BOB TUBO
2000311;0;120;1;MO-100004;0;600;600;0;BOB TUBO
2000315;0;150;1;MO-100004;0;840;840;0;BOB TUBO
2000317;0;100;1;MO-100004;0;900;900;0;BOB TUBO
2000318;0;90;1;MO-100004;0;900;900;0;BOB TUBO
2000321;0;120;1;MO-100004;0;980;980;0;BOB TUBO
2000322;0;120;1;MO-100004;0;980;980;0;BOB TUBO
2000323;0;60;1;;0;600;600;0;BOB TUBO
2000324;0;90;1;MO-100004;0;840;840;0;BOB TUBO
2000325;0;95;1;MO-100004;0;840;840;0;BOB TUBO
2000326;0;90;1;MO-100004;0;900;900;0;BOB TUBO
2000327;0;65;1;MO-100003;0;1200;1200;0;BOB TUBO
2000330;0;85;1;MO-100004;0;840;840;0;BOB TUBO
2000331;0;85;1;MO-100004;0;840;840;0;BOB TUBO
2000332;0;34;1;MO-100001;0;1030;1030;0;BOB LAMI
2000333;0;36;1;MO-100001;0;1070;1070;0;BOB LAMI
2000334;0;34;1;MO-100001;0;1110;1110;0;BOB LAMI
2000335;0;36;1;MO-100001;0;430;430;0;BOB LAMI
2000336;0;36;1;MO-100001;0;490;490;0;BOB LAMI
2000337;0;36;1;MO-100001;0;530;530;0;BOB LAMI
2000338;0;37;1;MO-100001;0;630;630;0;BOB LAMI
2000339;0;34;1;MO-100001;0;660;660;0;BOB LAMI
2000340;0;37;1;MO-100001;0;730;730;0;BOB LAMI
2000341;0;120;1;MO-100056;0;760;760;0;BOB LAMI
2000342;0;34;1;MO-100001;0;990;990;0;BOB LAMI
2000343;0;36;1;MO-100001;0;990;990;0;BOB LAMI
2000344;0;100;1;MO-100056;0;1000;1000;0;BOB TUBO
2000356;0;150;1;MO-100056;0;1080;1080;0;BOB TUBO
2000357;0;120;1;MO-100056;0;1100;1100;0;BOB TUBO
2000359;0;80;1;MO-100056;0;1100;1100;0;BOB TUBO
2000360;0;140;1;MO-100056;0;1120;1120;0;BOB TUBO
2000361;0;120;1;MO-100056;0;1130;1130;0;BOB TUBO
2000368;0;80;1;MO-100056;0;1200;1200;0;BOB TUBO
2000369;0;90;1;MO-100056;0;1200;1200;0;BOB TUBO
2000372;0;120;1;MO-100056;0;1250;1250;0;BOB TUBO
2000374;0;200;1;MO-100056;0;1700;1700;0;BOB TUBO
2000376;0;115;1;MO-100056;0;600;1200;0;BOB TUBO
2000377;0;90;1;MO-100056;0;600;1200;0;BOB TUBO
2000379;0;180;1;MO-100091;0;730;730;0;BOB TUBO
2000381;0;105;1;MO-100056;0;790;790;0;BOB TUBO
2000383;0;80;1;MO-100056;0;880;880;0;BOB TUBO
2000384;0;140;1;MO-100056;0;930;930;0;BOB TUBO
2000385;0;140;1;MO-100056;0;970;970;0;BOB TUBO
2000386;0;120;1;MO-100056;0;980;980;0;BOB TUBO
2000387;0;100;1;MO-100004;0;1000;1000;0;BOB TUBO
2000388;0;110;1;MO-100004;0;1000;1000;0;BOB TUBO
2000389;0;120;1;MO-100004;0;1000;1000;0;BOB TUBO
2000391;0;50;1;MO-100002;0;1000;1000;0;BOB TUBO
2000392;0;70;1;MO-100002;0;1000;1000;0;BOB TUBO
2000393;0;70;1;MO-100002;0;1000;1000;0;BOB TUBO
2000394;0;75;1;MO-100002;0;1000;1000;0;BOB TUBO
2000395;0;75;1;MO-100002;0;1000;1000;0;BOB TUBO
2000396;0;80;1;MO-100004;0;1000;1000;0;BOB TUBO
2000397;0;80;1;MO-100024;0;1000;1000;0;BOB TUBO
2000398;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000399;0;95;1;MO-100004;0;1000;1000;0;BOB TUBO
2000400;0;70;1;MO-100003;0;1050;1050;0;BOB TUBO
2000402;0;120;1;MO-100004;0;1100;1100;0;BOB TUBO
2000404;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000405;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000407;0;70;1;MO-100003;0;1200;1200;0;BOB TUBO
2000409;0;35;1;MO-100001;0;1250;1250;0;BOB TUBO
2000411;0;70;1;MO-100003;0;1290;1290;0;BOB TUBO
2000413;0;120;1;MO-100004;0;600;600;0;BOB TUBO
2000415;0;50;1;MO-100002;0;600;600;0;BOB TUBO
2000416;0;50;1;MO-100002;0;600;600;0;BOB TUBO
2000418;0;55;1;MO-100002;0;600;600;0;BOB TUBO
2000419;0;55;1;MO-100002;0;600;600;0;BOB TUBO
2000420;0;60;1;MO-100002;0;600;600;0;BOB TUBO
2000421;0;60;1;MO-100002;0;600;600;0;BOB TUBO
2000423;0;60;1;MO-100002;0;600;600;0;BOB TUBO
2000424;0;60;1;MO-100002;0;600;600;0;BOB TUBO
2000426;0;70;1;MO-100002;0;600;600;0;BOB TUBO
2000427;0;70;1;MO-100002;0;600;600;0;BOB TUBO
2000430;0;80;1;MO-100004;0;600;600;0;BOB TUBO
2000433;0;140;1;MO-100004;0;700;700;0;BOB TUBO
2000436;0;50;1;MO-100002;0;700;700;0;BOB TUBO
2000438;0;55;1;MO-100002;0;700;700;0;BOB TUBO
2000439;0;58;1;MO-100002;0;700;700;0;BOB TUBO
2000441;0;60;1;MO-100002;0;700;700;0;BOB TUBO
2000442;0;60;1;MO-100002;0;700;700;0;BOB TUBO
2000443;0;60;1;MO-100002;0;700;700;0;BOB TUBO
2000444;0;60;1;MO-100002;0;700;700;0;BOB TUBO
2000445;0;60;1;MO-100002;0;700;700;0;BOB TUBO
2000446;0;65;1;MO-100002;0;700;700;0;BOB TUBO
2000447;0;65;1;MO-100002;0;700;700;0;BOB TUBO
2000448;0;65;1;MO-100002;0;700;700;0;BOB TUBO
2000449;0;65;1;MO-100002;0;700;700;0;BOB TUBO
2000450;0;68;1;MO-100002;0;700;700;0;BOB TUBO
2000452;0;70;1;MO-100002;0;700;700;0;BOB TUBO
2000454;0;70;1;MO-100002;0;700;700;0;BOB TUBO
2000455;0;70;1;MO-100002;0;700;700;0;BOB TUBO
2000456;0;70;1;MO-100002;0;700;700;0;BOB TUBO
2000457;0;70;1;MO-100002;0;700;700;0;BOB TUBO
2000458;0;80;1;MO-100004;0;700;700;0;BOB TUBO
2000459;0;80;1;MO-100004;0;700;700;0;BOB TUBO
2000460;0;90;1;MO-100004;0;700;700;0;BOB TUBO
2000461;0;90;1;MO-100004;0;700;700;0;BOB TUBO
2000464;0;120;1;MO-100004;0;800;800;0;BOB TUBO
2000465;0;120;1;MO-100004;0;800;800;0;BOB TUBO
2000468;0;50;1;MO-100002;0;800;800;0;BOB TUBO
2000469;0;55;1;MO-100003;0;800;800;0;BOB TUBO
2000471;0;60;1;MO-100002;0;800;800;0;BOB TUBO
2000473;0;65;1;MO-100002;0;800;800;0;BOB TUBO
2000476;0;68;1;MO-100002;0;800;800;0;BOB TUBO
2000479;0;70;1;MO-100002;0;800;800;0;BOB TUBO
2000487;0;80;1;MO-100004;0;800;800;0;BOB TUBO
2000491;0;80;1;MO-100004;0;800;800;0;BOB TUBO
2000492;0;80;1;MO-100004;0;800;800;0;BOB TUBO
2000493;0;80;1;MO-100024;0;800;800;0;BOB TUBO
2000495;0;90;1;MO-100004;0;800;800;0;BOB TUBO
2000496;0;90;1;MO-100004;0;800;800;0;BOB TUBO
2000501;0;65;1;MO-100002;0;860;860;0;BOB TUBO
2000503;0;70;1;MO-100002;0;860;860;0;BOB TUBO
2000506;0;65;1;MO-100002;0;900;900;0;BOB TUBO
2000508;0;65;1;MO-100002;0;900;900;0;BOB TUBO
2000509;0;65;1;MO-100002;0;900;900;0;BOB TUBO
2000511;0;70;1;MO-100002;0;900;900;0;BOB TUBO
2000512;0;70;1;MO-100002;0;900;900;0;BOB TUBO
2000513;0;70;1;MO-100002;0;900;900;0;BOB TUBO
2000514;0;75;1;MO-100002;0;900;900;0;BOB TUBO
2000515;0;75;1;MO-100002;0;900;900;0;BOB TUBO
2000516;0;75;1;MO-100002;0;900;900;0;BOB TUBO
2000517;0;80;1;MO-100004;0;900;900;0;BOB TUBO
2000518;0;90;1;MO-100004;0;900;900;0;BOB TUBO
2000519;0;90;1;MO-100004;0;900;900;0;BOB TUBO
2000522;0;110;1;MO-100004;0;1000;1000;0;BOB TUBO
2000524;0;100;1;MO-100004;0;1000;1000;0;BOB TUBO
2000526;0;100;1;MO-100004;0;1000;1000;0;BOB TUBO
2000528;0;110;1;MO-100004;0;1000;1000;0;BOB TUBO
2000529;0;120;1;MO-100004;0;1000;1000;0;BOB TUBO
2000530;0;125;1;MO-100004;0;1000;1000;0;BOB TUBO
2000531;0;140;1;MO-100004;0;1000;1000;0;BOB TUBO
2000532;0;150;1;MO-100004;0;1000;1000;0;BOB TUBO
2000534;0;250;1;MO-100063;0;1000;1000;0;BOB TUBO
2000535;0;33;1;MO-100001;0;1000;1000;0;BOB TUBO
2000536;0;33;1;MO-100001;0;1000;1000;0;BOB TUBO
2000537;0;35;1;MO-100001;0;1000;1000;0;BOB TUBO
2000538;0;35;1;MO-100001;0;1000;1000;0;BOB TUBO
2000541;0;40;1;MO-100001;0;1000;1000;0;BOB TUBO
2000543;0;60;1;MO-100002;0;1000;1000;0;BOB TUBO
2000544;0;60;1;MO-100002;0;1000;1000;0;BOB TUBO
2000545;0;65;1;MO-100002;0;1000;1000;0;BOB TUBO
2000547;0;70;1;MO-100002;0;1000;1000;0;BOB TUBO
2000550;0;75;1;MO-100002;0;1000;1000;0;BOB TUBO
2000551;0;75;1;MO-100002;0;1000;1000;0;BOB TUBO
2000552;0;75;1;MO-100002;0;1000;1000;0;BOB TUBO
2000553;0;78;1;MO-100002;0;1000;1000;0;BOB TUBO
2000554;0;80;1;MO-100004;0;1000;1000;0;BOB TUBO
2000555;0;80;1;MO-100004;0;1000;1000;0;BOB TUBO
2000558;0;80;1;MO-100004;0;1000;1000;0;BOB TUBO
2000559;0;80;1;MO-100004;0;1000;1000;0;BOB TUBO
2000561;0;84;1;MO-100004;0;1000;1000;0;BOB TUBO
2000562;0;85;1;MO-100004;0;1000;1000;0;BOB TUBO
2000563;0;85;1;MO-100004;0;1000;1000;0;BOB TUBO
2000564;0;88;1;MO-100024;0;1000;1000;0;BOB TUBO
2000565;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000566;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000567;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000568;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000572;0;90;1;MO-100004;0;1000;1000;0;BOB TUBO
2000573;0;95;1;MO-100004;0;1000;1000;0;BOB TUBO
2000575;0;130;1;MO-100004;0;1040;1040;0;BOB TUBO
2000577;0;190;1;MO-100063;0;1050;1050;0;BOB TUBO
2000578;0;33;1;MO-100001;0;1050;1050;0;BOB TUBO
2000579;0;34;1;MO-100001;0;1050;1050;0;BOB TUBO
2000580;0;35;1;MO-100001;0;1050;1050;0;BOB TUBO
2000585;0;35;1;MO-100001;0;1050;1050;0;BOB TUBO
2000588;0;36;1;MO-100001;0;1050;1050;0;BOB TUBO
2000589;0;37;1;MO-100001;0;1050;1050;0;BOB TUBO
2000590;0;38;1;MO-100001;0;1050;1050;0;BOB TUBO
2000592;0;50;1;MO-100003;0;1050;1050;0;BOB TUBO
2000593;0;55;1;MO-100003;0;1050;1050;0;BOB TUBO
2000594;0;60;1;MO-100003;0;1050;1050;0;BOB TUBO
2000596;0;90;1;MO-100004;0;1050;1050;0;BOB TUBO
2000597;0;90;1;MO-100024;0;1050;1050;0;BOB TUBO
2000598;0;95;1;MO-100004;0;1050;1050;0;BOB TUBO
2000601;0;140;1;MO-100004;0;1060;1060;0;BOB TUBO
2000602;0;45;1;MO-100023;0;1060;1060;0;BOB TUBO
2000603;0;50;1;MO-100002;0;1060;1060;0;BOB TUBO
2000605;0;33;1;MO-100001;0;1080;1080;0;BOB TUBO
2000606;0;33;1;MO-100001;0;1080;1080;0;BOB TUBO
2000609;0;37;1;MO-100001;0;1080;1080;0;BOB TUBO
2000610;0;37;1;MO-100001;0;1080;1080;0;BOB TUBO
2000614;0;90;1;MO-100004;0;1080;1080;0;BOB TUBO
2000621;0;35;1;MO-100001;0;1100;1100;0;BOB TUBO
2000622;0;37;1;MO-100001;0;1100;1100;0;BOB TUBO
2000623;0;45;1;MO-100001;0;1100;1100;0;BOB TUBO
2000624;0;55;1;MO-100002;0;1100;1100;0;BOB TUBO
2000632;0;36;1;MO-100001;0;1120;1120;0;BOB TUBO
2000633;0;75;1;MO-100002;0;1120;1120;0;BOB TUBO
2000634;0;80;1;MO-100004;0;1120;1120;0;BOB TUBO
2000635;0;90;1;MO-100004;0;1120;1120;0;BOB TUBO
2000636;0;36;1;MO-100001;0;1130;1130;0;BOB TUBO
2000637;0;140;1;MO-100004;0;1140;1140;0;BOB TUBO
2000639;0;37;1;MO-100001;0;1150;1150;0;BOB TUBO
2000640;0;37;1;MO-100001;0;1150;1150;0;BOB TUBO
2000641;0;40;1;MO-100001;0;1150;1150;0;BOB TUBO
2000642;0;40;1;MO-100001;0;1150;1150;0;BOB TUBO
2000643;0;50;1;MO-100003;0;1150;1150;0;BOB TUBO
2000644;0;34;1;MO-100001;0;1160;1160;0;BOB TUBO
2000646;0;100;1;MO-100004;0;600;600;0;BOB TUBO
2000647;0;110;1;MO-100004;0;1200;1200;0;BOB TUBO
2000648;0;150;1;MO-100004;0;1200;1200;0;BOB TUBO
2000650;0;33;1;MO-100001;0;1200;1200;0;BOB TUBO
2000651;0;33;1;MO-100001;0;1200;1200;0;BOB TUBO
2000652;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000655;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000656;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000660;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000661;0;35;1;MO-100001;0;1200;1200;0;BOB TUBO
2000662;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000663;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000664;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000665;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000666;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000667;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000668;0;37;1;MO-100001;0;1200;1200;0;BOB TUBO
2000669;0;40;1;MO-100001;0;1200;1200;0;BOB TUBO
2000671;0;45;1;MO-100001;0;1200;1200;0;BOB TUBO
2000672;0;45;1;MO-100001;0;1200;1200;0;BOB TUBO
2000673;0;50;1;MO-100003;0;1200;1200;0;BOB TUBO
2000674;0;50;1;MO-100003;0;1200;1200;0;BOB TUBO
2000675;0;55;1;MO-100003;0;1200;1200;0;BOB TUBO
2000676;0;55;1;MO-100003;0;1200;1200;0;BOB TUBO
2000678;0;60;1;MO-100003;0;1200;1200;0;BOB TUBO
2000679;0;60;1;MO-100002;0;1200;1200;0;BOB TUBO
2000680;0;62;1;MO-100003;0;1200;1200;0;BOB TUBO
2000682;0;65;1;MO-100003;0;1200;1200;0;BOB TUBO
2000683;0;70;1;MO-100003;0;1200;1200;0;BOB TUBO
2000689;0;90;1;MO-100024;0;1200;1200;0;BOB TUBO
2000690;0;95;1;MO-100004;0;1200;1200;0;BOB TUBO
2000691;0;65;1;MO-100003;0;1220;1220;0;BOB TUBO
2000692;0;65;1;MO-100003;0;1220;1220;0;BOB TUBO
2000694;0;90;1;MO-100004;0;1240;1240;0;BOB TUBO
2000695;0;90;1;MO-100004;0;1240;1240;0;BOB TUBO
2000696;0;33;1;MO-100001;0;1250;1250;0;BOB TUBO
2000697;0;33;1;MO-100001;0;1250;1250;0;BOB TUBO
2000699;0;35;1;MO-100001;0;1250;1250;0;BOB TUBO
2000702;0;35;1;MO-100001;0;1250;1250;0;BOB TUBO
2000705;0;35;1;MO-100001;0;1250;1250;0;BOB TUBO
2000711;0;60;1;MO-100002;0;1260;1260;0;BOB TUBO
2000713;0;65;1;MO-100003;0;1260;1260;0;BOB TUBO
2000715;0;65;1;MO-100003;0;1290;1290;0;BOB TUBO
2000716;0;70;1;MO-100003;0;1290;1290;0;BOB TUBO
2000720;0;70;1;MO-100003;0;1350;1350;0;BOB TUBO
2000721;0;34;1;MO-100001;0;1370;1370;0;BOB TUBO
2000722;0;65;1;MO-100003;0;1410;1410;0;BOB TUBO
2000725;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000726;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000728;0;120;1;MO-100004;0;1470;1470;0;BOB TUBO
2000729;0;65;1;MO-100003;0;1500;1500;0;BOB TUBO
2000730;0;70;1;MO-100003;0;1500;1500;0;BOB TUBO
2000731;0;73;1;MO-100003;0;1500;1500;0;BOB TUBO
2000732;0;73;1;MO-100002;0;1500;1500;0;BOB TUBO
