REFERENCIA,ANCHO,GALGA,TIPO,MEZCLA,TRATAMIENTO,ABREFACIL,FUELLE
2006615,790,160,BOB LAMI,,NO,NO,0
2006616,790,320,BOB LAMI,,NO,NO,0
2006617,1025,120,LAMI LAMI,MO-100141,NO,NO,0
2006618,950,120,LAMI LAMI,MO-100141,NO,NO,0
2006619,690,160,LAMI LAMI,MO-100141,NO,NO,0
2006620,950,200,LAMI LAMI,MO-100141,NO,NO,0
2006621,735,100,LAMI LAMI,MO-100141,NO,NO,0
2006622,1200,80,LAMI LAMI,MO-100141,NO,NO,0
2006623,1200,120,LAMI LAMI,MO-100141,NO,NO,0
2006624,690,120,LAMI LAMI,MO-100141,NO,NO,0
2006625,1200,160,LAMI LAMI,MO-100141,NO,NO,0
2006626,1200,200,LAMI LAMI,MO-100141,NO,NO,0
2006627,1200,240,LAMI LAMI,MO-100141,NO,NO,0
2006628,1200,280,LAMI LAMI,MO-100141,NO,NO,0
2006629,730,280,LAMI LAMI,MO-100141,NO,NO,0
2006630,1240,460,LAMI LAMI,MO-100141,NO,NO,0
2006631,960,80,BOB LAMI,,NO,NO,0
2006632,960,140,BOB LAMI,,NO,NO,0
2006633,670,92,BOB LAMI,,NO,NO,0
2006635,900,55,BOB TUBO,MO-100002,NO,NO,0
2006636,1180,100,OPP TP,MO-100999,NO,NO,0
2006637,660,240,LAMI LAMI,MO-100141,NO,NO,0
2006638,1215,80,BOB LAMI,,NO,NO,0
2006640,810,120,BOB LAMI,,NO,NO,0
2006641,810,200,BOB LAMI,,NO,NO,0
2006642,925,320,BOB LAMI,MO-100999,NO,NO,0
2006643,925,320,BOB LAMI,,NO,NO,0
2006644,960,120,BOB TUBO,MO-100134,NO,NO,0
2006645,925,360,BOB LAMI,MO-100141,NO,NO,0
2006646,925,360,BOB LAMI,,NO,NO,0
2006647,690,280,LAMI LAMI,MO-100141,NO,NO,0
2006648,930,320,LAMI LAMI,MO-100141,NO,NO,0
2006649,900,160,OPP TP,MO-100999,NO,NO,0
2006650,720,200,LAMI LAMI,MO-100141,NO,NO,0
2006651,730,80,OPP MATE,MO-100999,NO,NO,0
2006652,870,260,LAMI LAMI,MO-100141,NO,NO,0
2006653,1070,80,OPP MATE,MO-100999,NO,NO,0
2006654,1070,80,OPP METAL,MO-100999,NO,NO,0
2006655,880,220,BOB LAMI,MO-100141,NO,NO,0
2006656,880,300,BOB LAMI,,NO,NO,0
2006657,1470,200,BOB TUBO,,NO,NO,0
2006658,980,200,BOB TUBO,,NO,NO,0
2006659,1050,80,BOB LAMI,,NO,NO,0
2006660,1050,160,BOB LAMI,,NO,NO,0
2006661,860,80,BOB LAMI,,NO,NO,0
2006663,860,80,OPP TP,MO-100999,NO,NO,0
2006664,860,80,OPP METAL,MO-100999,NO,NO,0
2006665,1200,80,BOB LAMI,MO-100125,NO,NO,0
2006666,1200,100,BOB LAMI,MO-100125,NO,NO,0
2006667,1200,120,BOB LAMI,MO-100125,NO,NO,0
2006668,1200,140,BOB LAMI,MO-100125,NO,NO,0
2006669,1200,160,BOB LAMI,MO-100125,NO,NO,0
2006670,1200,180,BOB LAMI,MO-100125,NO,NO,0
2006671,1200,200,BOB LAMI,MO-100125,NO,NO,0
2006672,1200,240,BOB LAMI,MO-100125,NO,NO,0
2006673,860,80,BOB LAMI,,NO,NO,0
2006674,860,160,BOB LAMI,,NO,NO,0
2006675,1050,80,BOB LAMI,,NO,NO,0
2006676,1050,160,BOBINAS PE,,NO,NO,0
2006677,920,100,LAMI LAMI,MO-100141,NO,NO,0
2006678,995,100,LAMI LAMI,MO-100141,NO,NO,0
2006679,790,160,LAMI LAMI,MO-100141,NO,NO,0
2006680,980,200,LAMI LAMI,MO-100141,NO,NO,0
2006681,980,200,LAMI LAMI,MO-100141,NO,NO,0
2006682,800,65,BOB TUBO,MO-100003,NO,NO,0
2006683,1200,60,BOB TUBO,MO-100002,NO,NO,0
2006684,600,110,BOB TUBO,MO-100004,NO,NO,0
2006685,840,65,BOB TUBO,MO-100002,NO,NO,0
2006686,880,80,BOB LAMI,,NO,NO,0
2006687,880,300,BOB LAMI,,NO,NO,0
2006688,1225,280,LAMI LAMI,MO-100141,NO,NO,0
2006689,800,95,BOB TUBO,MO-100024,NO,NO,0
2006691,840,70,BOB TUBO,MO-100002,NO,NO,0
2006704,900,70,BOB TUBO,MO-100003,NO,NO,0
2006705,720,80,BOB TUBO,MO-100049,NO,NO,80
2006706,870,120,BOB LAMI,,NO,NO,0
2006707,870,200,BOB LAMI,,NO,NO,0
2006708,1055,140,BOB LAMI,,NO,NO,0
2006709,960,120,BOB TUBO,,NO,NO,0
2006710,980,120,BOB TUBO,MO-100004,NO,NO,0
2006711,800,65,BOB TUBO,MO-100002,NO,NO,0
2006712,900,80,BOB TUBO,MO-100004,NO,NO,0
2006713,900,75,BOB TUBO,MO-100002,NO,NO,0
2006714,700,70,BOB TUBO,MO-100002,NO,NO,0
2006715,840,70,BOB TUBO,MO-100002,NO,NO,0
2006716,800,55,BOB TUBO,MO-100002,NO,NO,0
2006717,800,70,BOB TUBO,MO-100002,NO,NO,0
2006718,800,70,BOB TUBO,MO-100002,NO,NO,0
2006719,800,65,BOB TUBO,MO-100002,NO,NO,0
2006720,800,80,BOB TUBO,MO-100004,NO,NO,0
2006721,900,70,BOB TUBO,MO-100002,NO,NO,0
2006722,840,70,BOB TUBO,MO-100002,NO,NO,0
2006723,900,80,BOB TUBO,MO-100004,NO,NO,0
2006724,900,55,BOB TUBO,MO-100002,NO,NO,0
2006725,840,70,BOB TUBO,MO-100002,NO,NO,0
2006726,900,70,BOB TUBO,MO-100002,NO,NO,0
2006727,800,55,BOB TUBO,MO-100002,NO,NO,0
2006728,900,80,BOB TUBO,MO-100004,NO,NO,0
2006729,800,80,BOB TUBO,MO-100004,NO,NO,0
2006730,840,65,BOB TUBO,MO-100002,NO,NO,0
2006731,700,70,BOB TUBO,MO-100002,NO,NO,0
2006732,700,55,BOB TUBO,MO-100002,NO,NO,0
2006733,700,70,BOB TUBO,MO-100002,NO,NO,0
2006734,840,65,BOB TUBO,MO-100002,NO,NO,0
2006735,800,70,BOB TUBO,MO-100002,NO,NO,0
2006736,980,120,BOB TUBO,MO-100004,NO,NO,0
2006737,980,120,BOB TUBO,MO-100004,NO,NO,0
2006738,800,60,BOB TUBO,MO-100002,NO,NO,0
2006739,1000,80,BOB TUBO,MO-100004,NO,NO,0
2006740,1000,90,BOB TUBO,MO-100004,NO,NO,0
2006741,800,70,BOB TUBO,MO-100002,NO,NO,0
2006742,700,60,BOB TUBO,MO-100002,NO,NO,0
2006743,800,80,BOB TUBO,MO-100004,NO,NO,0
2006744,800,70,BOB TUBO,MO-100002,NO,NO,0
2006745,800,70,BOB TUBO,MO-100003,NO,NO,0
2006746,900,70,BOB TUBO,MO-100002,NO,NO,0
2006747,1260,65,BOB TUBO,MO-100003,NO,NO,0
2006748,840,70,BOB TUBO,MO-100002,NO,NO,0
2006749,1100,80,BOB TUBO,MO-100056,NO,NO,0
2006750,1190,140,BOB LAMI,,NO,NO,0
2006751,790,120,LAMI LAMI,MO-100141,NO,NO,0
2006752,800,70,BOB TUBO,MO-100002,NO,NO,0
2006753,810,80,BOB LAMI,,NO,NO,0
2006754,810,208,BOB LAMI,,NO,NO,0
2006755,810,288,BOB LAMI,,NO,NO,0
2006756,800,70,BOB TUBO,MO-100002,NO,NO,0
2006757,800,65,BOB TUBO,MO-100002,NO,NO,0
2006758,1440,120,BOB TUBO,MO-100134,NO,NO,0
2006759,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006760,1110,160,BOB TUBO,MO-100024,NO,NO,0
2006761,1050,80,BOB TUBO,MO-100049,NO,NO,0
2006762,1140,75,BOB SETUBO,MO-100008,NO,NO,0
2006763,1240,100,BOB SETUBO,MO-100008,NO,NO,0
2006764,1260,65,BOB TUBO,MO-100002,NO,NO,0
2006765,1200,55,BOB TUBO,MO-100002,NO,NO,0
2006766,1060,32,BOB TUBO,MO-100001,NO,NO,0
2006767,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006768,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006769,1440,120,BOB TUBO,MO-100134,NO,NO,0
2006770,1200,55,BOB TUBO,MO-100003,NO,NO,0
2006771,1440,200,BOB TUBO,MO-100134,NO,NO,0
2006772,1470,200,BOB TUBO,MO-100134,NO,NO,0
2006773,1440,200,BOB TUBO,MO-100134,NO,NO,0
2006774,1440,115,BOB TUBO,MO-100004,NO,NO,0
2006775,1440,200,BOB TUBO,MO-100134,NO,NO,0
2006776,1440,200,BOB TUBO,MO-100134,NO,NO,0
2006777,900,130,BOB TUBO,MO-100116,NO,NO,0
2006778,850,105,BOB SETUBO,MO-100103,NO,NO,0
2006779,650,75,BOB SETUBO,MO-100008,NO,NO,0
2006780,740,200,BOB TUBO,MO-100061,NO,NO,0
2006781,980,120,BOB TUBO,MO-100004,NO,NO,0
2006782,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006783,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006784,650,75,BOB SETUBO,MO-100008,NO,NO,0
2006785,800,65,BOB TUBO,MO-100003,NO,NO,0
2006786,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006787,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006788,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006789,1250,37,BOB TUBO,MO-100001,NO,NO,0
2006790,1200,37,BOB TUBO,MO-100001,NO,NO,0
2006791,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006792,1200,37,BOB TUBO,MO-100001,NO,NO,0
2006793,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006794,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006795,1050,35,BOB TUBO,MO-100001,NO,NO,0
2006797,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006798,1580,400,STRHO TUBO,MO-100999,NO,NO,255
2006799,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006800,1650,460,STRHO TUBO,MO-100999,NO,NO,405
2006801,1650,480,STRHO TUBO,MO-100999,NO,NO,375
2006802,1750,440,BOB TUBO,MO-100999,NO,NO,325
2006803,1750,480,STRHO TUBO,MO-100999,NO,NO,325
2006804,1820,460,STRHO TUBO,MO-100999,NO,NO,355
2006806,1095,80,BOB LAMI,,NO,NO,0
2006808,1095,100,BOB LAMI,,NO,NO,0
2006810,960,80,BOB LAMI,,NO,NO,0
2006811,960,160,BOB LAMI,,NO,NO,0
2006812,960,80,BOB LAMI,,NO,NO,0
2006813,960,160,BOB LAMI,,NO,NO,0
2006814,960,80,BOB LAMI,,NO,NO,0
2006815,960,160,BOB LAMI,,NO,NO,0
2006816,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006817,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006818,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006819,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006820,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006821,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006822,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2006823,1070,70,BOB SETUBO,MO-100045,NO,NO,0
2006824,1070,70,BOB SETUBO,MO-100045,NO,NO,0
2006825,600,110,BOB TUBO,MO-100004,NO,NO,0
2006826,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006827,840,65,BOB TUBO,MO-100002,NO,NO,0
2006828,840,70,BOB TUBO,MO-100002,NO,NO,0
2006829,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006830,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006831,2550,300,BOB TUBO,MO-100104,NO,NO,600
2006832,980,120,BOB TUBO,MO-100004,NO,NO,0
2006833,1060,120,BOB TUBO,MO-100004,NO,NO,0
2006834,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006835,900,70,BOB TUBO,MO-100003,NO,NO,0
2006836,980,120,BOB TUBO,MO-100004,NO,NO,0
2006837,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006838,1140,140,BOB TUBO,MO-100004,NO,NO,0
2006839,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006840,1200,55,BOB TUBO,MO-100003,NO,NO,0
2006841,730,180,BOB TUBO,MO-100061,NO,NO,0
2006842,1050,37,BOB TUBO,MO-100001,NO,NO,0
2006843,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006844,1200,55,BOB TUBO,MO-100003,NO,NO,0
2006845,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006846,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006847,1050,37,BOB TUBO,MO-100001,NO,NO,0
2006848,1050,37,BOB TUBO,MO-100001,NO,NO,0
2006849,650,65,BOB SETUBO,MO-100008,NO,NO,0
2006850,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006851,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006852,600,65,BOB SETUBO,MO-100008,NO,NO,0
2006853,1150,37,BOB TUBO,MO-100001,NO,NO,0
2006854,1150,40,BOB TUBO,MO-100001,NO,NO,0
2006855,1150,40,BOB TUBO,MO-100001,NO,NO,0
2006856,1150,37,BOB TUBO,MO-100001,NO,NO,0
2006857,1240,90,BOB TUBO,MO-100024,NO,NO,0
2006858,840,95,BOB TUBO,MO-100004,NO,NO,0
2006859,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006860,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006861,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006862,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006863,1050,50,BOB TUBO,MO-100003,NO,NO,0
2006864,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006865,800,60,BOB TUBO,MO-100003,NO,NO,0
2006866,1050,50,BOB TUBO,MO-100003,NO,NO,0
2006867,700,50,BOB TUBO,MO-100003,NO,NO,0
2006868,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006869,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006870,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006871,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006872,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006873,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006874,800,60,BOB TUBO,MO-100003,NO,NO,0
2006875,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006876,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006877,600,80,BOB TUBO,MO-100004,NO,NO,0
2006878,655,320,BOB LAMI,,NO,NO,0
2006879,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006880,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006881,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006882,1000,35,BOB TUBO,MO-100001,NO,NO,0
2006883,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006884,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006885,1200,70,BOB TUBO,MO-100003,NO,NO,0
2006886,1200,50,BOB TUBO,MO-100003,NO,NO,0
2006887,1200,67,BOB TUBO,MO-100003,NO,NO,0
2006888,1150,40,BOB TUBO,MO-100001,NO,NO,0
2006889,1050,68,BOB TUBO,MO-100003,NO,NO,0
2006890,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006891,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006892,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006893,550,120,BOB TUBO,MO-100004,NO,NO,0
2006894,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006895,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006896,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006897,1000,60,BOB TUBO,MO-100002,NO,NO,0
2006898,550,100,BOB TUBO,MO-100004,NO,NO,0
2006899,1000,40,BOB TUBO,MO-100001,NO,NO,0
2006900,1200,50,BOB TUBO,MO-100002,NO,NO,0
2006901,1200,50,BOB TUBO,MO-100003,NO,NO,0
2006902,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006903,1000,40,BOB TUBO,MO-100001,NO,NO,0
2006904,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006905,650,75,BOB SETUBO,MO-100008,NO,NO,0
2006906,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006907,1080,35,BOB TUBO,MO-100001,NO,NO,0
2006908,880,80,BOB LAMI,,NO,NO,0
2006909,880,240,BOB LAMI,,NO,NO,0
2006910,800,100,BOB TUBO,MO-100004,NO,NO,0
2006911,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006912,800,80,BOB TUBO,MO-100004,NO,NO,0
2006913,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006914,1150,40,BOB TUBO,MO-100001,NO,NO,0
2006915,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006916,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006917,1200,50,BOB TUBO,MO-100003,NO,NO,0
2006918,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006919,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006920,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006921,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006922,600,70,BOB TUBO,MO-100002,NO,NO,0
2006923,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006924,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006925,600,75,BOB SETUBO,MO-100008,NO,NO,0
2006926,600,75,BOB SETUBO,MO-100008,NO,NO,0
2006927,1000,35,BOB TUBO,MO-100001,NO,NO,0
2006928,1200,40,BOB TUBO,MO-100001,NO,NO,0
2006929,1050,35,BOB TUBO,MO-100001,NO,NO,0
2006930,870,100,BOB LAMI,,NO,NO,0
2006931,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006932,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006933,980,120,BOB TUBO,MO-100004,NO,NO,0
2006934,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006935,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006936,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006937,670,92,BOB LAMI,,NO,NO,0
2006938,670,212,BOB LAMI,,NO,NO,0
2006939,670,92,BOB LAMI,,NO,NO,0
2006941,670,92,BOB LAMI,,NO,NO,0
2006942,670,212,BOB LAMI,,NO,NO,0
2006943,670,92,BOB LAMI,,NO,NO,0
2006944,670,212,BOB LAMI,,NO,NO,0
2006945,670,92,BOB LAMI,,NO,NO,0
2006946,670,212,BOB LAMI,,NO,NO,0
2006947,670,92,BOB LAMI,,NO,NO,0
2006948,670,212,BOB LAMI,,NO,NO,0
2006949,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006950,600,70,BOB TUBO,MO-100003,NO,NO,0
2006951,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006952,1200,40,BOB TUBO,MO-100001,NO,NO,0
2006953,980,120,BOB TUBO,MO-100004,NO,NO,0
2006954,800,65,BOB TUBO,MO-100003,NO,NO,0
2006955,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006956,1200,40,BOB TUBO,MO-100001,NO,NO,0
2006957,980,120,BOB TUBO,MO-100004,NO,NO,0
2006958,980,120,BOB TUBO,MO-100004,NO,NO,0
2006959,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006960,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006961,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006962,1240,40,BOB TUBO,MO-100001,NO,NO,0
2006963,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006964,980,120,BOB TUBO,MO-100004,NO,NO,0
2006965,1470,120,BOB TUBO,MO-100004,NO,NO,0
2006966,980,120,BOB TUBO,MO-100004,NO,NO,0
2006967,1200,65,BOB TUBO,MO-100003,NO,NO,0
2006968,1200,45,BOB TUBO,MO-100001,NO,NO,0
2006969,1200,37,BOB TUBO,MO-100001,NO,NO,0
2006970,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006971,1250,35,BOB TUBO,MO-100001,NO,NO,0
2006972,700,80,BOB TUBO,MO-100004,NO,NO,0
2006973,980,120,BOB TUBO,MO-100004,NO,NO,0
2006974,980,120,BOB TUBO,MO-100004,NO,NO,0
2006975,980,120,BOB TUBO,MO-100004,NO,NO,0
2006976,980,120,BOB TUBO,MO-100004,NO,NO,0
2006977,980,120,BOB TUBO,MO-100004,NO,NO,0
2006978,980,120,BOB TUBO,MO-100004,NO,NO,0
2006979,980,120,BOB TUBO,MO-100004,NO,NO,0
2006980,980,120,BOB TUBO,MO-100004,NO,NO,0
2006981,980,120,BOB TUBO,MO-100004,NO,NO,0
2006982,980,120,BOB TUBO,MO-100004,NO,NO,0
2006983,1200,35,BOB TUBO,MO-100001,NO,NO,0
2006984,800,65,BOB TUBO,MO-100002,NO,NO,0
2006985,800,70,BOB TUBO,MO-100002,NO,NO,0
2006986,670,92,BOB LAMI,,NO,NO,0
2006987,670,212,BOB LAMI,,NO,NO,0
2006988,800,80,BOB TUBO,MO-100004,NO,NO,0
2006989,800,80,BOB TUBO,MO-100004,NO,NO,0
2006990,800,70,BOB TUBO,MO-100002,NO,NO,0
2006991,800,70,BOB TUBO,MO-100002,NO,NO,0
2006992,800,80,BOB TUBO,MO-100004,NO,NO,0
2006993,700,70,BOB TUBO,MO-100002,NO,NO,0
2006994,700,60,BOB TUBO,MO-100002,NO,NO,0
2006995,800,80,BOB TUBO,MO-100004,NO,NO,0
2006996,700,60,BOB TUBO,MO-100003,NO,NO,0
2006997,1000,95,BOB TUBO,MO-100004,NO,NO,0
2006998,1050,60,BOB TUBO,MO-100003,NO,NO,0
2006999,1000,100,BOB TUBO,MO-100004,NO,NO,0
2007000,800,50,BOB TUBO,MO-100002,NO,NO,0
2007001,600,60,BOB TUBO,MO-100002,NO,NO,0
2007002,700,60,BOB TUBO,MO-100002,NO,NO,0
2007003,800,70,BOB TUBO,MO-100002,NO,NO,0
2007004,800,70,BOB TUBO,MO-100002,NO,NO,0
2007005,655,360,LAMI LAMI,MO-100141,NO,NO,0
2007006,1600,400,STRHO TUBO,MO-100999,NO,NO,375
2007007,670,92,BOB LAMI,,NO,NO,0
2007008,670,212,BOB LAMI,,NO,NO,0
2007009,800,70,BOB TUBO,MO-100002,NO,NO,0
2007010,1200,60,BOB TUBO,MO-100003,NO,NO,0
2007011,900,70,BOB TUBO,MO-100002,NO,NO,0
2007012,700,50,BOB TUBO,MO-100002,NO,NO,0
2007013,900,70,BOB TUBO,MO-100003,NO,NO,0
2007014,700,50,BOB TUBO,MO-100002,NO,NO,0
2007015,800,65,BOB TUBO,MO-100002,NO,NO,0
2007016,800,60,BOB TUBO,MO-100002,NO,NO,0
2007017,900,65,BOB TUBO,MO-100002,NO,NO,0
2007018,700,60,BOB TUBO,MO-100002,NO,NO,0
2007019,700,70,BOB TUBO,MO-100002,NO,NO,0
2007020,700,75,BOB TUBO,MO-100002,NO,NO,0
2007021,980,120,BOB TUBO,MO-100004,NO,NO,0
2007022,700,60,BOB TUBO,MO-100002,NO,NO,0
2007023,800,90,BOB TUBO,MO-100004,NO,NO,0
2007024,1200,60,BOB TUBO,MO-100003,NO,NO,0
2007025,700,70,BOB TUBO,MO-100002,NO,NO,0
2007026,1000,90,BOB TUBO,MO-100004,NO,NO,0
2007027,800,80,BOB TUBO,MO-100004,NO,NO,0
2007028,700,70,BOB TUBO,MO-100002,NO,NO,0
2007029,1050,55,BOB TUBO,MO-100003,NO,NO,0
2007030,800,70,BOB TUBO,MO-100002,NO,NO,0
2007031,800,70,BOB TUBO,MO-100003,NO,NO,0
2007032,600,60,BOB TUBO,MO-100002,NO,NO,0
2007033,1050,55,BOB TUBO,MO-100003,NO,NO,0
2007034,700,55,BOB TUBO,MO-100002,NO,NO,0
2007035,800,60,BOB TUBO,MO-100002,NO,NO,0
2007036,900,65,BOB TUBO,MO-100002,NO,NO,0
2007037,800,70,BOB TUBO,MO-100002,NO,NO,0
2007038,800,80,BOB TUBO,MO-100004,NO,NO,0
2007039,1440,200,BOB TUBO,MO-100143,NO,NO,0
2007040,600,60,BOB TUBO,MO-100002,NO,NO,0
2007041,700,60,BOB TUBO,MO-100002,NO,NO,0
2007042,800,70,BOB TUBO,MO-100002,NO,NO,0
2007043,800,80,BOB TUBO,MO-100004,NO,NO,0
2007044,800,100,BOB TUBO,MO-100004,NO,NO,0
2007045,600,55,BOB TUBO,MO-100002,NO,NO,0
2007046,900,80,BOB TUBO,MO-100004,NO,NO,0
2007047,800,75,BOB TUBO,MO-100002,NO,NO,0
2007048,800,80,BOB TUBO,MO-100004,NO,NO,0
2007049,700,70,BOB TUBO,MO-100002,NO,NO,0
2007050,700,60,BOB TUBO,MO-100002,NO,NO,0
2007051,800,70,BOB TUBO,MO-100002,NO,NO,0
2007052,960,70,BOB TUBO,MO-100002,NO,NO,0
2007053,800,70,BOB TUBO,MO-100002,NO,NO,0
2007054,700,70,BOB TUBO,MO-100002,NO,NO,0
2007055,980,120,BOB TUBO,MO-100004,NO,NO,0
2007056,800,70,BOB TUBO,MO-100002,NO,NO,0
2007057,800,80,BOB TUBO,MO-100004,NO,NO,0
2007058,800,70,BOB TUBO,MO-100002,NO,NO,0
2007059,700,70,BOB TUBO,MO-100002,NO,NO,0
2007060,900,80,BOB TUBO,MO-100004,NO,NO,0
2007061,800,70,BOB TUBO,MO-100002,NO,NO,0
2007062,600,50,BOB TUBO,MO-100002,NO,NO,0
2007063,800,60,BOB TUBO,MO-100002,NO,NO,0
2007064,800,70,BOB TUBO,MO-100002,NO,NO,0
2007065,900,75,BOB TUBO,MO-100002,NO,NO,0
2007066,980,120,BOB TUBO,MO-100004,NO,NO,0
2007067,900,70,BOB TUBO,MO-100002,NO,NO,0
2007068,800,70,BOB TUBO,MO-100003,NO,NO,0
2007069,800,70,BOB TUBO,MO-100002,NO,NO,0
2007070,1050,60,BOB TUBO,MO-100003,NO,NO,0
2007071,1000,90,BOB TUBO,MO-100004,NO,NO,0
2007072,800,70,BOB TUBO,MO-100002,NO,NO,0
2007073,800,75,BOB TUBO,MO-100002,NO,NO,0
2007075,800,70,BOB TUBO,MO-100002,NO,NO,0
2007076,800,80,BOB TUBO,MO-100004,NO,NO,0
2007077,800,80,BOB TUBO,MO-100004,NO,NO,0
2007078,800,80,BOB TUBO,MO-100004,NO,NO,0
2007079,800,90,BOB TUBO,MO-100004,NO,NO,0
2007080,900,65,BOB TUBO,MO-100002,NO,NO,0
2007081,1000,80,BOB TUBO,MO-100004,NO,NO,0
2007082,1200,60,BOB TUBO,MO-100003,NO,NO,0
2007083,800,80,BOB TUBO,MO-100004,NO,NO,0
2007084,800,80,BOB TUBO,MO-100004,NO,NO,0
2007085,800,60,BOB TUBO,MO-100002,NO,NO,0
2007086,900,90,BOB TUBO,MO-100004,NO,NO,0
2007087,800,70,BOB TUBO,MO-100002,NO,NO,0
2007088,800,70,BOB TUBO,MO-100002,NO,NO,0
2007089,800,70,BOB TUBO,MO-100002,NO,NO,0
2007090,800,80,BOB TUBO,MO-100004,NO,NO,0
2007091,840,65,BOB TUBO,MO-100002,NO,NO,0
2007092,800,70,BOB TUBO,MO-100003,NO,NO,0
2007093,900,80,BOB TUBO,MO-100004,NO,NO,0
2007094,900,75,BOB TUBO,MO-100002,NO,NO,0
2007095,800,60,BOB TUBO,MO-100002,NO,NO,0
2007096,800,70,BOB TUBO,MO-100002,NO,NO,0
2007097,1470,120,BOB TUBO,MO-100004,NO,NO,0
2007098,840,80,BOB TUBO,MO-100004,NO,NO,0
2007099,800,140,BOB TUBO,MO-100004,NO,NO,0
2007100,800,70,BOB TUBO,MO-100002,NO,NO,0
2007101,800,65,BOB TUBO,MO-100002,NO,NO,0
2007102,800,80,BOB TUBO,MO-100004,NO,NO,0
