MES,REFERENCIA,CANTIDAD
2026-04-01,2018673,69900
2026-04-01,2018704,131328
2026-04-01,2018705,131250
2026-04-01,2018782,90300
2026-04-01,2018783,45150
2026-04-01,2018807,3480
2026-04-01,2018840,13872
2026-04-01,2018841,13800
2026-04-01,2018851,9792
2026-04-01,2018852,9720
2026-04-01,2018879,94452
2026-04-01,2018880,94560
2026-04-01,2018891,486
2026-04-01,2018986,14223
2026-04-01,2019055,157488
2026-04-01,2019056,157500
2026-04-01,2019086,104856
2026-04-01,2019087,105000
2026-04-01,2019131,156328
2026-04-01,2019132,78164
2026-04-01,2019138,18360
2026-04-01,2019139,18360
2026-04-01,2019140,23664
2026-04-01,2019141,23580
2026-04-01,2019186,36720
2026-04-01,2019187,36750
2026-04-01,2019206,78132
2026-04-01,2019207,78120
2026-04-01,2019223,8448
2026-04-01,2019224,8400
2026-04-01,2019246,247780
2026-04-01,2019247,123890
2026-04-01,2019254,26304
2026-04-01,2019255,26280
2026-04-01,2019268,238680
2026-04-01,2019269,238800
2026-04-01,2019295,68340
2026-04-01,2019296,68280
2026-04-01,2019300,8976
2026-04-01,2019301,8880
2026-04-01,2019346,7752
2026-04-01,2019347,7800
2026-04-01,2019355,14632
2026-04-01,2019356,7316
2026-04-01,2019362,39372
2026-04-01,2019363,39300
2026-04-01,2019369,24915
2026-04-01,2019370,157488
2026-04-01,2019371,157440
2026-04-01,2019372,157440
2026-04-01,2019386,106632
2026-04-01,2019387,53316
2026-04-01,2019434,7752
2026-04-01,2019435,7800
2026-04-01,2019442,7752
2026-04-01,2019443,7800
2026-04-01,2019472,35640
2026-04-01,2019481,5508
2026-04-01,2019482,58350
2026-04-01,2019491,2848
2026-04-01,2019492,2848
2026-04-01,2019495,136500
2026-04-01,2019496,68250
2026-04-01,2019509,109140
2026-04-01,2019510,109200
2026-04-01,2019517,2880
2026-04-01,2019518,2880
2026-04-01,2019528,27720
2026-04-01,2019529,27720
2026-04-01,2019540,21012
2026-04-01,2019541,21060
2026-04-01,2019551,38760
